,Label,Message,Vectors
0,ham,"go until jurong point, crazy.. available only in bugis n great world la e buffet... cine there got amore wat...","[0, 0, 0, 0, 0]"
1,ham,ok lar... joking wif u oni...,"[0, 0, 0, 0, 0]"
2,spam,free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005. text fa to 87121 to receive entry question(std txt rate)t&c's apply 08452810075over18's,"[0, 1, 1, 0, 1]"
3,ham,u dun say so early hor... u c already then say...,"[0, 0, 0, 0, 0]"
4,ham,"nah i don't think he goes to usf, he lives around here though","[0, 0, 0, 0, 0]"
5,spam,"freemsg hey there darling it's been 3 week's now and no word back! i'd like some fun you up for it still? tb ok! xxx std chgs to send, �1.50 to rcv","[0, 0, 0, 0, 0]"
6,ham,even my brother is not like to speak with me. they treat me like aids patent.,"[0, 0, 0, 0, 0]"
7,ham,as per your request 'melle melle (oru minnaminunginte nurungu vettam)' has been set as your callertune for all callers. press *9 to copy your friends callertune,"[0, 0, 0, 0, 0]"
8,spam,winner!! as a valued network customer you have been selected to receivea �900 prize reward! to claim call 09061701461. claim code kl341. valid 12 hours only.,"[1, 0, 0, 0, 0]"
9,spam,had your mobile 11 months or more? u r entitled to update to the latest colour mobiles with camera for free! call the mobile update co free on 08002986030,"[1, 1, 0, 0, 0]"
10,ham,"i'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? i've cried enough today.","[0, 0, 0, 0, 0]"
11,spam,"six chances to win cash! from 100 to 20,000 pounds txt> csh11 and send to 87575. cost 150p/day, 6days, 16+ tsandcs apply reply hl 4 info","[0, 0, 0, 0, 0]"
12,spam,"urgent! you have won a 1 week free membership in our �100,000 prize jackpot! txt the word: claim to no: 81010 t&c www.dbuk.net lccltd pobox 4403ldnw1a7rw18","[0, 1, 0, 0, 1]"
13,ham,i've been searching for the right words to thank you for this breather. i promise i wont take your help for granted and will fulfil my promise. you have been wonderful and a blessing at all times.,"[0, 0, 0, 0, 0]"
14,ham,i have a date on sunday with will!!,"[0, 0, 0, 0, 0]"
15,spam,"xxxmobilemovieclub: to use your credit, click the wap link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=qjkgighjjgcbl","[0, 0, 0, 0, 1]"
16,ham,oh k...i'm watching here:),"[0, 0, 0, 0, 0]"
17,ham,eh u remember how 2 spell his name... yes i did. he v naughty make until i v wet.,"[0, 0, 1, 0, 0]"
18,ham,fine if that��s the way u feel. that��s the way its gota b,"[0, 0, 0, 0, 0]"
19,spam,"england v macedonia - dont miss the goals/team news. txt ur national team to 87077 eg england to 87077 try:wales, scotland 4txt/̼1.20 poboxox36504w45wq 16+","[0, 0, 0, 1, 1]"
20,ham,is that seriously how you spell his name?,"[0, 0, 0, 0, 0]"
21,ham,i���m going to try for 2 months ha ha only joking,"[0, 0, 1, 0, 0]"
22,ham,so �_ pay first lar... then when is da stock comin...,"[0, 0, 0, 0, 0]"
23,ham,aft i finish my lunch then i go str down lor. ard 3 smth lor. u finish ur lunch already?,"[0, 0, 0, 1, 0]"
24,ham,ffffffffff. alright no way i can meet up with you sooner?,"[0, 0, 0, 0, 0]"
25,ham,just forced myself to eat a slice. i'm really not hungry tho. this sucks. mark is getting worried. he knows i'm sick when i turn down pizza. lol,"[0, 0, 0, 0, 0]"
26,ham,lol your always so convincing.,"[0, 0, 0, 0, 0]"
27,ham,did you catch the bus ? are you frying an egg ? did you make a tea? are you eating your mom's left over dinner ? do you feel my love ?,"[0, 0, 0, 0, 0]"
28,ham,"i'm back &amp; we're packing the car now, i'll let you know if there's room","[0, 0, 0, 0, 0]"
29,ham,ahhh. work. i vaguely remember that! what does it feel like? lol,"[0, 0, 0, 0, 0]"
30,ham,"wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us","[0, 0, 0, 0, 0]"
31,ham,yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. till 2! but we won't go there! not doing too badly cheers. you?,"[0, 0, 1, 0, 0]"
32,ham,k tell me anything about you.,"[0, 0, 0, 0, 0]"
33,ham,for fear of fainting with the of all that housework you just did? quick have a cuppa,"[0, 0, 0, 0, 0]"
34,spam,thanks for your subscription to ringtone uk your mobile will be charged �5/month please confirm by replying yes or no. if you reply no you will not be charged,"[0, 0, 0, 0, 0]"
35,ham,yup... ok i go home look at the timings then i msg �_ again... xuhui going to learn on 2nd may too but her lesson is at 8am,"[0, 0, 0, 0, 0]"
36,ham,"oops, i'll let you know when my roommate's done","[0, 0, 0, 0, 0]"
37,ham,i see the letter b on my car,"[0, 0, 0, 0, 0]"
38,ham,anything lor... u decide...,"[0, 0, 0, 0, 0]"
39,ham,hello! how's you and how did saturday go? i was just texting to see if you'd decided to do anything tomo. not that i'm trying to invite myself or anything!,"[0, 0, 0, 0, 0]"
40,ham,pls go ahead with watts. i just wanted to be sure. do have a great weekend. abiola,"[0, 0, 0, 0, 0]"
41,ham,"did i forget to tell you ? i want you , i need you, i crave you ... but most of all ... i love you my sweet arabian steed ... mmmmmm ... yummy","[0, 0, 0, 0, 0]"
42,spam,07732584351 - rodger burns - msg = we tried to call you re your reply to our sms for a free nokia mobile + free camcorder. please call now 08000930705 for delivery tomorrow,"[1, 1, 0, 0, 0]"
43,ham,who are you seeing?,"[0, 0, 0, 0, 0]"
44,ham,great! i hope you like your man well endowed. i am  &lt;#&gt;  inches...,"[0, 0, 0, 0, 0]"
45,ham,no calls..messages..missed calls,"[0, 0, 0, 0, 0]"
46,ham,didn't you get hep b immunisation in nigeria.,"[0, 0, 0, 0, 0]"
47,ham,"fair enough, anything going on?","[0, 0, 0, 0, 0]"
48,ham,"yeah hopefully, if tyler can't do it i could maybe ask around a bit","[0, 0, 0, 0, 0]"
49,ham,u don't know how stubborn i am. i didn't even want to go to the hospital. i kept telling mark i'm not a weak sucker. hospitals are for weak suckers.,"[0, 0, 0, 0, 0]"
50,ham,what you thinked about me. first time you saw me in class.,"[0, 0, 0, 0, 0]"
51,ham,"a gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;","[0, 0, 0, 0, 0]"
52,ham,k fyi x has a ride early tomorrow morning but he's crashing at our place tonight,"[0, 0, 0, 0, 0]"
53,ham,"wow. i never realized that you were so embarassed by your accomodations. i thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". i'm sorry i didn't and don't have more to give. i'm sorry i offered. i'm sorry your room was so embarassing.""","[0, 0, 0, 0, 0]"
54,spam,sms. ac sptv: the new jersey devils and the detroit red wings play ice hockey. correct or incorrect? end? reply end sptv,"[0, 0, 0, 0, 0]"
55,ham,do you know what mallika sherawat did yesterday? find out now @  &lt;url&gt;,"[0, 0, 0, 0, 0]"
56,spam,"congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! c suprman v, matrix3, starwars3, etc all 4 free! bx420-ip4-5we. 150pm. dont miss out! ","[1, 0, 1, 0, 0]"
57,ham,"sorry, i'll call later in meeting.","[1, 0, 0, 0, 0]"
58,ham,tell where you reached,"[0, 0, 0, 0, 0]"
59,ham,yes..gauti and sehwag out of odi series.,"[0, 0, 0, 0, 0]"
60,ham,your gonna have to pick up a $1 burger for yourself on your way home. i can't even move. pain is killing me.,"[0, 0, 0, 0, 0]"
61,ham,ha ha ha good joke. girls are situation seekers.,"[0, 0, 0, 0, 0]"
62,ham,its a part of checking iq,"[0, 0, 0, 0, 0]"
63,ham,"sorry my roommates took forever, it ok if i come by now?","[0, 0, 0, 0, 0]"
64,ham,ok lar i double check wif da hair dresser already he said wun cut v short. he said will cut until i look nice.,"[0, 0, 0, 0, 0]"
65,spam,"as a valued customer, i am pleased to advise you that following recent review of your mob no. you are awarded with a �1500 bonus prize, call 09066364589","[1, 0, 0, 0, 0]"
66,ham,"today is \song dedicated day..\"" which song will u dedicate for me? send this to all ur valuable frnds but first rply me...""","[0, 0, 0, 1, 0]"
67,spam,"urgent ur awarded a complimentary trip to eurodisinc trav, aco&entry41 or �1000. to claim txt dis to 87121 18+6*�1.50(morefrmmob. shracomorsglsuplt)10, ls1 3aj","[0, 0, 0, 1, 1]"
68,spam,"did you hear about the new \divorce barbie\""? it comes with all of ken's stuff!""","[0, 0, 0, 0, 0]"
69,ham,i plane to give on this month end.,"[0, 0, 0, 0, 0]"
70,ham,wah lucky man... then can save money... hee...,"[0, 0, 0, 0, 0]"
71,ham,finished class where are you.,"[0, 0, 0, 0, 0]"
72,ham,hi babe im at home now wanna do something? xx,"[0, 0, 0, 0, 0]"
73,ham,k..k:)where are you?how did you performed?,"[0, 0, 0, 0, 0]"
74,ham,u can call me now...,"[1, 0, 0, 0, 0]"
75,ham,i am waiting machan. call me once you free.,"[1, 0, 0, 0, 0]"
76,ham,thats cool. i am a gentleman and will treat you with dignity and respect.,"[0, 0, 0, 0, 0]"
77,ham,i like you peoples very much:) but am very shy pa.,"[0, 0, 0, 0, 0]"
78,ham,does not operate after  &lt;#&gt;  or what,"[0, 0, 0, 0, 0]"
79,ham,its not the same here. still looking for a job. how much do ta's earn there.,"[0, 0, 0, 0, 0]"
80,ham,"sorry, i'll call later","[1, 0, 0, 0, 0]"
81,ham,k. did you call me just now ah?,"[1, 0, 0, 0, 0]"
82,ham,ok i am on the way to home hi hi,"[0, 0, 0, 0, 0]"
83,ham,you will be in the place of that man,"[0, 0, 0, 0, 0]"
84,ham,yup next stop.,"[0, 0, 0, 0, 0]"
85,ham,"i call you later, don't have network. if urgnt, sms me.","[1, 0, 0, 0, 0]"
86,ham,for real when u getting on yo? i only need 2 more tickets and one more jacket and i'm done. i already used all my multis.,"[0, 0, 1, 0, 0]"
87,ham,yes i started to send requests to make it but pain came back so i'm back in bed. double coins at the factory too. i gotta cash in all my nitros.,"[0, 0, 0, 0, 0]"
88,ham,i'm really not up to it still tonight babe,"[0, 0, 0, 0, 0]"
